                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96855,                 4.6153,                 1.5933,                 0.3908,                0.44329,                0.34026,                0.24494,                    nan,                    nan,                    nan,             6.4562e-05,             6.4562e-05,             6.4562e-05
                      2,                0.79293,                 3.4166,                 1.4078,                0.56201,                0.62264,                0.59619,                0.43955,                    nan,                    nan,                    nan,             0.00012658,             0.00012658,             0.00012658
                      3,                0.76666,                 2.5113,                 1.3808,                0.65418,                0.68182,                0.66728,                0.50756,                    nan,                    nan,                    nan,             0.00018601,             0.00018601,             0.00018601
                      4,                0.74512,                 1.9744,                 1.3564,                0.69991,                0.61998,                0.70648,                0.51353,                    nan,                    nan,                    nan,             0.00024286,             0.00024286,             0.00024286
                      5,                0.73261,                 1.6521,                  1.338,                0.68267,                0.61162,                0.66156,                0.50525,                    nan,                    nan,                    nan,             0.00029713,             0.00029713,             0.00029713
                      6,                0.71536,                 1.4237,                 1.3255,                0.67895,                0.67067,                0.73023,                0.53404,                    nan,                    nan,                    nan,              0.0002907,              0.0002907,              0.0002907
                      7,                0.69785,                 1.2503,                 1.3031,                0.59276,                0.78188,                0.73726,                0.52758,                    nan,                    nan,                    nan,              0.0002907,              0.0002907,              0.0002907
                      8,                0.70396,                 1.0953,                 1.3223,                0.65844,                0.74149,                0.77939,                0.57906,                    nan,                    nan,                    nan,             0.00028424,             0.00028424,             0.00028424
                      9,                0.68788,                 1.0066,                 1.2983,                0.60833,                0.74604,                 0.7565,                0.56644,                    nan,                    nan,                    nan,             0.00027778,             0.00027778,             0.00027778
                     10,                0.66892,                0.90008,                  1.279,                0.62793,                0.74714,                0.77908,                0.58242,                    nan,                    nan,                    nan,             0.00027132,             0.00027132,             0.00027132
                     11,                0.66654,                0.84169,                 1.2722,                0.61555,                 0.7731,                 0.7849,                0.59238,                    nan,                    nan,                    nan,             0.00026486,             0.00026486,             0.00026486
                     12,                0.65807,                0.80376,                 1.2557,                0.68609,                0.74829,                0.78269,                 0.5588,                    nan,                    nan,                    nan,              0.0002584,              0.0002584,              0.0002584
                     13,                0.63172,                0.74416,                 1.2482,                0.59881,                0.78009,                0.77474,                0.55411,                    nan,                    nan,                    nan,             0.00025194,             0.00025194,             0.00025194
                     14,                0.64519,                0.70904,                 1.2564,                0.63198,                0.72817,                0.78044,                0.57708,                    nan,                    nan,                    nan,             0.00024548,             0.00024548,             0.00024548
                     15,                0.63167,                0.67342,                 1.2423,                0.63885,                0.79902,                0.78168,                0.55184,                    nan,                    nan,                    nan,             0.00023902,             0.00023902,             0.00023902
                     16,                0.62496,                0.65187,                 1.2314,                0.67873,                0.75003,                0.77564,                0.56642,                    nan,                    nan,                    nan,             0.00023256,             0.00023256,             0.00023256
                     17,                0.62524,                0.63696,                  1.234,                0.71786,                0.84958,                0.80426,                0.61123,                    nan,                    nan,                    nan,              0.0002261,              0.0002261,              0.0002261
                     18,                 0.6144,                0.61413,                 1.2127,                0.61922,                0.83878,                0.79812,                0.59375,                    nan,                    nan,                    nan,             0.00021964,             0.00021964,             0.00021964
                     19,                0.60355,                0.57713,                 1.2177,                0.68459,                0.77677,                0.79875,                0.59935,                    nan,                    nan,                    nan,             0.00021318,             0.00021318,             0.00021318
                     20,                0.59697,                0.55567,                 1.2029,                 0.7423,                0.70917,                0.78676,                0.60098,                    nan,                    nan,                    nan,             0.00020672,             0.00020672,             0.00020672
                     21,                0.59577,                0.55524,                 1.2091,                0.76598,                0.73937,                0.78098,                 0.5893,                    nan,                    nan,                    nan,             0.00020026,             0.00020026,             0.00020026
                     22,                0.59598,                0.53392,                 1.2017,                0.67648,                0.80984,                0.76731,                0.58476,                    nan,                    nan,                    nan,              0.0001938,              0.0001938,              0.0001938
                     23,                0.58809,                0.52065,                 1.1982,                0.78136,                0.81843,                0.77745,                0.59068,                    nan,                    nan,                    nan,             0.00018734,             0.00018734,             0.00018734
                     24,                0.58245,                0.49385,                 1.1939,                0.74774,                0.77423,                0.78669,                0.58628,                    nan,                    nan,                    nan,             0.00018088,             0.00018088,             0.00018088
                     25,                0.58024,                0.49293,                 1.1912,                0.70686,                0.74173,                0.80328,                0.60175,                    nan,                    nan,                    nan,             0.00017442,             0.00017442,             0.00017442
                     26,                0.57443,                0.48617,                 1.1823,                 0.6566,                0.78008,                0.75057,                0.56152,                    nan,                    nan,                    nan,             0.00016796,             0.00016796,             0.00016796
                     27,                0.56628,                0.47453,                 1.1736,                0.64058,                0.84884,                0.80671,                 0.5946,                    nan,                    nan,                    nan,              0.0001615,              0.0001615,              0.0001615
